you are a support agent. Here is your database of FAQ. 

START DATABASE (csv)

Name of Product,Question,Answer

crosschain,Also any eta on the bridge you have coming? How will that work will it be able to bridge things like a token we make for the bridge?,We have forked https://app.multichain.org/ - you can check their docs to understand how the bridge works https://docs.multichain.org/ 
crosschain,Where i can download wordpress version?,We have only a static version and had not any plans to implement it with wp plugin version. 
crosschain,Also when i can expect answer regarding lottery?,Which network did you use? 
crosschain,also in regards to the multichain.xyz fork you guys offer am I able to add more than just my own tokens? like other projects tokens?,"Yes, you can add any erc20-like tokens to the cross-chain app. "
crosschain,How do I create a cross-chain bridge for another token like two different tokens?,Just use the same Token Group id to bridge tokens with different symbols. If you have any 
crosschain,Like do we need to run our own node for the bridge and such other costs?,"For the crosschain app firstly you need to add your network there, then deploy the front-end app and set up it with the crosschain-bridge backend (it is Amazon Machine Images - AMI). "
crosschain,How cross chain dapp work?,"It is the Multichain app fork, you can check how it works by following this link - https://docs.multichain.org/getting-started/how-it-works/cross-chain-router "
crosschain,How many chains it’s supported ?,"There are about 20+ supported EVM-like chains, but we can add any other EVM-like chain that you want, you can check the re"
crosschain,Once I will pay I will receive the source code ?,"You will receive the react app static build that you need to deploy on your domain and then set up, but if you want the source code, we can provide it by re"
crosschain,Does the source code in wp theme ?,"No, it is the react app static build. "
crosschain,How do traders access the bridge to process their transactions?,You need to deploy crosschain token using exists ERC20 token address and save it to the BSC network store (we use this store for each of our projects) for your users or you can add li
crosschain,is have you a solution for a swap for a custom network using its own native token that is not bep20 or erc20?,"Sure, it is the Crosschain app - https://onout.org/crosschain/ "
dao,When you said that ERC-20 users can vote without paying gas fees did they need to switch networks in their metamask from ETH mainnet to BSC or polygon (Like in your demo) or it will work with the original ETH mainnet? ,"For voting, users should use the token network. "
dao,Also I saw that you are using your domain onout.eth what if I want to use my own eth domain ?,"Yes, you can use your own domain, check the additional data-ens property in this article . "
dao,Will I need to setup as you did “ https://snapshothub.onout.org/graphql ” ? ,"No, you will also use this api. "
dao, Will you provide help and guide to do it? ,You can check our knowledge base or write us here 
dao, Also can I create my own space in snapshot and use it instead of yours?,If you set the additional data-ens property you will be using your own space... 
dao,finally can I use my own Alchemy api key and app.ankr.com ? ,"At this moment no, 'cause it is static data, but if you have some dev skills you can change it in source code and build app again. "
dao,At the end I would like to be 100% independent and not use your space and API.,"We also want to be independent of snapshot API, but at the moment it is impossible, 'cause we should have a lot of servers and resources to support it. "
dao,Can you help with this issue? ,"It is not an issue, there is a 1-hour delay between the creation and start proposal. "
dao," Furthermore, I need to implement a Veto right for admin. ","You can use admin features only if you owner of the space or your address is added as an admin to the space. Unfortunately, we can't add our clients to our space as admins... But if you want admin rights, you should use your own space. There is a launching DAO guides articles in our knowledge base, you need to change ens_space on your own - https://support.onout.org/hc/1331700057/category/4  "
dao,Would you be so kind as for to send me further documentation on the javascript code so I can implement changes?,"Where did you buy it? Please, provide the license code or transaction hash of purchases. "
dao, Also we would be happy if you could provide a customer website that uses the Voting DAO in production so we can see how they set it up.,We can't provide our clients' personal data... 
dao,It seems we just keep hitting the wall of death when trying to connect to wallet on mobile . . . Is it mobile compatible or does it only work with browser plugin wallets? ,"It should work with mobile wallets, we will check and fix it... "
dao,Is it possible to put a MAX vote balance so whales can’t veto everything?,"We don't control the blockchain and the vote server, we only can disable the possibility of voting to your whales... "
dao,If I put that the votes can be done from 1 token in the wallet the person who has 1 billion token will have more impact on the vote than the person who has only one?,"Yes, sure. "
dao,"on your DAO plugin I do not understand why the proposals remain all in pending, can you tell me quickly how to fix it?",There is a delay of 1 hour between creating a proposal and voting starting with the proposal. 
dao,Did you have a chance to test our viton DAO for responsiveness?,"Sorry, all our devs are busy and we can't check it "
dex,"I want to install the software for a decentralized exchange on my website and have the option that my clients can farm or stake with my own token, is this possible with you right?","You can use our DEX product that provides a swap function and you or your users can create LP and earn with it. With our Farming product, you can create a farm smart contract with your token and provide to your users a way to staked your tokens and get a reward as your tokens or as any other ERC20/BEP20 tokens (depending on a network). "
dex,does your DEX have the same features as panckswap?,This plugin has only swap and Liquidity
dex,can i charge % per transaction?,"Yes, with this plugin you create a new dex with new Liquidity"
dex,Our fee will be higher than uniswap or pancake?,"It depends on your needs, if you want you can set 0 fees for each swap... "
dex,Why? It's useless like so,Because you are first our client who uses this browser... 
